date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:31:09	1490/1490	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Nov%202024%2009:31:08%20GMT	https://birthday-cake-mu.vercel.app/robots.txt		(from )
16:31:09	1193/1193	---MCZ	200	added ('OK')	text/html	etag:W/%22ff3ad888c8e34ab22372aee8e181c5fc%22	https://birthday-cake-mu.vercel.app/	E:/Note%20linh%20tinh/Birthday/birthday-cake-mu.vercel.app/index.html	(from )
16:31:10	17077/17077	---M--	200	added ('OK')	image/png	etag:%224458d426fc3c74653a7bd26d5106adf3%22	https://birthday-cake-mu.vercel.app/apple-touch-icon.png	E:/Note%20linh%20tinh/Birthday/birthday-cake-mu.vercel.app/apple-touch-icon.png	(from https://birthday-cake-mu.vercel.app/)
16:31:10	1579/1579	---M--	200	added ('OK')	image/png	etag:%22ba66f4d4a109b4c067062e3a6bc36c87%22	https://birthday-cake-mu.vercel.app/favicon-32x32.png	E:/Note%20linh%20tinh/Birthday/birthday-cake-mu.vercel.app/favicon-32x32.png	(from https://birthday-cake-mu.vercel.app/)
16:31:10	816/816	---M--	200	added ('OK')	image/png	etag:%2236d81167d1d4163c042d7ae8b666b85c%22	https://birthday-cake-mu.vercel.app/favicon-16x16.png	E:/Note%20linh%20tinh/Birthday/birthday-cake-mu.vercel.app/favicon-16x16.png	(from https://birthday-cake-mu.vercel.app/)
16:31:10	426/426	---M--	200	added ('OK')	application/manifest+json	etag:%2257425a403714747b47dd0c0b3524a5f1%22	https://birthday-cake-mu.vercel.app/site.webmanifest	E:/Note%20linh%20tinh/Birthday/birthday-cake-mu.vercel.app/site.webmanifest	(from https://birthday-cake-mu.vercel.app/)
16:31:11	605/605	---M--	200	added ('OK')	image/svg+xml	etag:%22986ac8152c81c85a4665505212367454%22	https://birthday-cake-mu.vercel.app/safari-pinned-tab.svg	E:/Note%20linh%20tinh/Birthday/birthday-cake-mu.vercel.app/safari-pinned-tab.svg	(from https://birthday-cake-mu.vercel.app/)
16:31:11	267724/267724	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e0951177ec2d30c33e7d93c4d3c647ad%22	https://birthday-cake-mu.vercel.app/assets/index-C-qJiC_v.js	E:/Note%20linh%20tinh/Birthday/birthday-cake-mu.vercel.app/assets/index-C-qJiC_v.js	(from https://birthday-cake-mu.vercel.app/)
16:31:12	141059/141059	---MCZ	200	added ('OK')	application/javascript	etag:W/%228dad69deca6aef290e528b4b9c524330%22	https://birthday-cake-mu.vercel.app/assets/react-qTuFlYP0.js	E:/Note%20linh%20tinh/Birthday/birthday-cake-mu.vercel.app/assets/react-qTuFlYP0.js	(from https://birthday-cake-mu.vercel.app/)
16:31:12	789/789	---M--	200	added ('OK')	application/javascript	etag:%227a8408d7f0158a1260522e198fa01d64%22	https://birthday-cake-mu.vercel.app/assets/lottie-DCavrAAS.js	E:/Note%20linh%20tinh/Birthday/birthday-cake-mu.vercel.app/assets/lottie-DCavrAAS.js	(from https://birthday-cake-mu.vercel.app/)
16:31:13	18055/18055	---MCZ	200	added ('OK')	text/css	etag:W/%226fcf4053d0851e8e82a96d80a966458c%22	https://birthday-cake-mu.vercel.app/assets/index-DFk9zs54.css	E:/Note%20linh%20tinh/Birthday/birthday-cake-mu.vercel.app/assets/index-DFk9zs54.css	(from https://birthday-cake-mu.vercel.app/)
